name,line
DERREN, John.
DERREN, John. Look at me. Look at me.
DERREN, And sleep!
DERREN," Right the way down, right the way deep, right the way sound asleep. That’s right. That’s good – keeping my voice just there in the centre of your head and floating all the way around you."
DERREN," And you will awaken in three, two, one ..."
DERREN, ... zero.
ANDERSON, No-no-no-no! It’s obvious! That’s how he did it! It’s obvious!
LESTRADE, Derren Brown?! Let it go. Sherlock’s dead.
ANDERSON, Is he?
LESTRADE, There was a body. It was him. It was definitely him. Molly Hooper laid him out.
ANDERSON," No, she’s lying. It was Jim Moriarty’s body with a mask on!"
LESTRADE, A mask?!
LESTRADE," A bungee rope, a mask, Derren Brown. Two years, and the theories keep getting more stupid. How many more’ve you got for me today?"
ANDERSON," Well, you know the paving slabs in that whole area – even the exact ones that he landed on – you know they were all ..."
LESTRADE," You did this, and it killed him, and he’s staying dead. Do you honestly believe that if you have enough stupid theories, it’s gonna change what really happened?"
ANDERSON, I believe in Sherlock Holmes.
LESTRADE," Yeah, well that won’t bring him back."
LESTRADE, Well then. (He raises his cup.) Absent friends. Sherlock.
LESTRADE, And may God rest his soul.
MYCROFT," Now listen to me. There’s an underground terrorist network active in London and a massive attack is imminent. Sorry, but the holiday is over, brother dear."
MYCROFT," Back to Baker Street, Sherlock Holmes."
BOY, Penny for the guy?
BOY," Oi, mate! Penny for the guy?"
SECOND BOY," Penny for the guy, mate?"
FIRST BOY, Penny for the guy?
JOHN, That was the most ridiculous thing I’ve ever done.
SHERLOCK, And you invaded Afghanistan!
MYCROFT," You have been busy, haven’t you?"
MYCROFT, Quite the busy little bee. (He chuckles.)
SHERLOCK, Moriarty’s network – took me two years to dismantle it.
MYCROFT, And you’re confident you have?
SHERLOCK, The Serbian side was the last piece of the puzzle.
MYCROFT, Yes. You got yourself in deep there ... (he checks his report) ... with Baron Maupertuis. Quite a scheme.
SHERLOCK, Colossal.
SHERLOCK, Hmm.
MYCROFT, A small ‘thank you’ wouldn’t go amiss.
SHERLOCK, What for?
MYCROFT, For wading in.
MYCROFT," In case you’d forgotten, fieldwork is not my natural milieu."
SHERLOCK, “Wading in”? You sat there and watched me being beaten to a pulp.
SHERLOCK, No – I got me out. Why didn’t you intervene sooner?
MYCROFT," Well, I couldn’t risk giving myself away, could I? It would have ruined everything."
MYCROFT, Nonsense.
SHERLOCK, Definitely enjoying it.
 Listen," do you have any idea what it was like, Sherlock, going ‘under cover,’ smuggling my way into their ranks like that? (He grimaces.) The noise; the people."
SHERLOCK, I didn’t know you spoke Serbian.
MYCROFT," I didn’t, but the language has a Slavic root, frequent Turkish and German loan words. (He shrugs.) Took me a couple of hours."
SHERLOCK, Hmm – you’re slipping.
MRS HUDSON," Oh no – you don’t take it, do you?"
JOHN, No.
MRS HUDSON, You forget a little thing like that.
JOHN, Yes.
JOHN, Uh-huh.
MRS HUDSON, Not sure about that.
MRS HUDSON, Ages you.
JOHN, Just trying it out.
MRS HUDSON," Well, it ages you."
JOHN, Look ...
MRS HUDSON, I’m not your mother. I’ve no right to expect it ...
JOHN, No ...
MRS HUDSON," ... but just one phone call, John."
MRS HUDSON, Just one phone call would have done.
JOHN, I know.
MRS HUDSON, After all we went through.
JOHN," I just let it slide, Mrs Hudson. I let it all slide. And it just got harder and harder to pick up the phone somehow."
JOHN, D’you know what I mean?
MYCROFT," I need you to give this matter your full attention, Sherlock. Is that quite clear?"
SHERLOCK, What do you think of this shirt?
SHERLOCK," I will find your underground terror cell, Mycroft."
SHERLOCK," Just put me back in London. I need to get to know the place again, breathe it in – feel every quiver of its beating heart."
ANTHEA," One of our men died getting this information. All the chatter, all the traffic, concurs there’s going to be a terror strike on London – a big one."
MYCROFT, John?
SHERLOCK, Mmm. Have you seen him?
MYCROFT," Oh, yes – we meet up every Friday for fish and chips(!)"
MYCROFT," I’ve kept a weather eye on him, of course."
MYCROFT," You haven’t been in touch at all, to prepare him?"
SHERLOCK," Well, we’ll have to get rid of that."
MYCROFT, “We”?
SHERLOCK, He looks ancient. I can’t be seen to be wandering around with an old man.
MRS HUDSON, I couldn’t face letting it out.
MRS HUDSON, He never liked me dusting.
MRS HUDSON," So, why now? What changed your mind?"
JOHN," Well, I’ve got some news."
MRS HUDSON," Oh, God. Is it serious?"
JOHN," What? No – no, I’m not ill. I’ve, er, well, I’m ... moving on."
JOHN," Nope. Er, no – I’ve, er ... I’ve met someone."
MRS HUDSON," Oh, lovely!"
JOHN," Well, yes."
MRS HUDSON, What’s his name?
MRS HUDSON, A woman?!
JOHN," Yes, of course it’s a woman."
MRS HUDSON," You really have moved on, haven’t you?"
JOHN, Mrs Hudson! How many times ...? Sherlock was not my boyfriend.
 Listen to me, I am not gay!
SHERLOCK, Hmm. I’ll pop into Baker Street. Who knows – jump out of a cake.
MYCROFT, Why would he be? It’s been two years. He’s got on with his life.
SHERLOCK, What life? I’ve been away.
SHERLOCK, Where’s he going to be tonight?
MYCROFT, How would I know?
SHERLOCK, You always know.
MYCROFT, He has a dinner reservation in the Marylebone Road. Nice little spot. They have a few bottles of the 2000 Saint-Emilion ... though I prefer the 2001.
SHERLOCK, I think maybe I’ll just drop by.
MYCROFT," You know, it is just possible that you won’t be welcome."
SHERLOCK," No it isn’t. Now, where is it?"
MYCROFT, Where’s what?
SHERLOCK, You know what.
ANTHEA," Welcome back, Mr Holmes."
SHERLOCK, Your wife just texted you. Possibly her contractions have started.
WAITRESS," ’Scuse me, sir."
SHERLOCK," Sorry! I’m so, so sorry!"
SHERLOCK," Please, let me just go to the kitchen and, er, dry that off for you."
SHERLOCK," Finished with that, sir? Allow me to take it for you."
SHERLOCK," Madam, can I suggest you look at this menu? It’s, er, completely identical."
SHERLOCK," Can I ’elp you with anything, sir?"
JOHN," Er, it’s not really my area. What do you suggest?"
JOHN, Mm-hm.
JOHN," Great. I’ll have that one, please. "
JOHN," Well, er, surprise me."
MARY, Sorry that took so long.
MARY, You okay?
JOHN," Yeah, yeah. Me? Fine. I am fine."
MARY," Now then, what did you want to ask me?"
JOHN, More wine?
MARY," No, I’m good with water, thanks."
JOHN, Right. (He briefly looks away.)
MARY, So ...
JOHN," Er, so ... Mary. Listen, erm ... I know it hasn’t been long ... I mean, I know we haven’t known each other for a long time ..."
JOHN," Yes, I will. As you know, these last couple of years haven’t been easy for me; and meeting you ..."
JOHN," Yeah, meeting you has been the best thing that could have possibly happened."
MARY, I agree.
JOHN, What?
MARY, Sorry.
JOHN," Well, no. That’s, um ..."
JOHN," So ... if you’ll have me, Mary, could you see your way, um ..."
JOHN, ... if you could see your way to ...
JOHN," No, look, seriously ... (he finally lifts his gaze to meet the waiter’s eyes) ... could you just ..."
SHERLOCK, ... Not Dead.
SHERLOCK," Bit mean, springing it on you like that, I know. Could have given you a heart attack, probably still will. But in my defence, it was very funny."
SHERLOCK," Okay, it’s not a great defence."
MARY, Oh no! You’re ...
SHERLOCK, Not quite.
MARY, You died. You jumped off a roof.
SHERLOCK, No.
SHERLOCK, No. I’m quite sure. I checked. Excuse me.
MARY," Oh my God, oh my God. Do you have any idea what you’ve done to him?"
MARY," All right, just ... John? Just keep ..."
JOHN, I thought ...
JOHN, I thought ... you were dead. (His face begins to fill with anger again.) Hmm?
JOHN," Now, you let me grieve, hmm? How could you do that?"
SHERLOCK," ... um, one question. Just let me ask one question. Um ..."
SHERLOCK, I calculated that there were thirteen possibilities once I’d invited Moriarty onto the roof.
SHERLOCK, What?
SHERLOCK, Oh. ‘Why’ as in ...
SHERLOCK, I see. Yes. ‘Why?’ That’s a little more difficult to explain.
JOHN," Oh, so it’s your brother’s plan?"
MARY, Sorry.
JOHN, But he was the only one? The only one who knew?
SHERLOCK, Couple of others. 
SHERLOCK, It was a very elaborate plan – it had to be. The next of the thirteen possibilities ...
JOHN, Who else knew? 
JOHN, Who?
SHERLOCK, Molly.
SHERLOCK," Molly Hooper – and some of my homeless network, and that’s all."
JOHN," Okay. (He sits up a little and glances round at Mary, who gives him a sympathetic smile. He turns to Sherlock again.) Okay. So just your brother, and Molly Hooper, and a hundred tramps."
SHERLOCK, No! Twenty-five at most.
SHERLOCK," Seriously, it’s not a joke? (He gestures to his own top lip.) You’re-you’re really keeping this?"
JOHN, Yeah.
SHERLOCK, You’re sure?
JOHN, Mary likes it.
SHERLOCK," Mmmmmm, no she doesn’t."
JOHN, She does.
SHERLOCK, She doesn’t.
JOHN, Oh! (He tries to cover his moustache with his hand.) Brilliant.
MARY," I’m sorry. Oh, I’m sorry – I didn’t know how to tell you."
JOHN," No, no, this is charming(!)"
JOHN, I’ve really missed this(!)
JOHN," One Word, Sherlock. That is all I would have needed. One word to let me know that you were alive."
SHERLOCK," ... I worried that, you know, you might say something indiscreet."
JOHN, What?
SHERLOCK," Well, you know, let the cat out of the bag."
MARY," Oh, God!"
SHERLOCK, Over-reacting.
MARY, John!
SHERLOCK, Shh!
JOHN, ... and you waltz in ’ere large as bloody life ...
SHERLOCK, Shh!
SHERLOCK," London is in danger, John. There’s an imminent terrorist attack and I need your help."
JOHN, My help?
SHERLOCK," You have missed this. Admit it. The thrill of the chase, the blood pumping through your veins, just the two of us against the rest of the world ..."
SHERLOCK, I don’t understand.
SHERLOCK, I said I’m sorry. Isn’t that what you’re supposed to do?
MARY," Gosh. You don’t know anything about human nature, do you?"
SHERLOCK," Mmm, nature? No. Human? ... No."
MARY, I’ll talk him round.
SHERLOCK, You will?
JOHN, Mary.
JOHN, Can you believe his nerve?
MARY, I like him.
JOHN, What?
LESTRADE," Ooh, you bastard!"
LESTRADE, Greg!
SHERLOCK, Greg.
RADIO," ... with an anti-terrorism bill this important, the government feels duty-bound to push through the legislation with all due expe..."
SHERLOCK, Don’t move. Keep your eyes fixed on me.
SHERLOCK," Please, will you do this for me? Please."
JOHN, Do what?
SHERLOCK," This phone call – it’s my note. That’s what people do, don’t they? Leave a note."
JOHN, Sherlock!
JIM, Oh-ho!
LAURA, I don’t see why not. It’s just as plausible as some of your theories.
ANDERSON," Look, if you’re not going to take it seriously, Laura, you can ... (He makes a ‘get out’ gesture.)"
ANDERSON," I founded ‘The Empty Hearse’ so like-minded people could meet, discuss theories ..."
ANDERSON, Sherlock’s still out there.
ANDERSON, I’m convinced of it.
LAURA, Oh my God.
LAURA, Oh. My. God!
MARY, “I couldn’t help thinking what an amazing criminal he’d make if he turned his talents against the law.”
JOHN, Don’t read that.
JOHN, Come on – that’s ...
MARY," ... ancient history, yes, I know. But it’s not, though, is it, because he’s ..."
JOHN, Having a wash.
JOHN," Well, you hate it."
MARY, Sherlock hates it.
JOHN, Apparently everyone hates it.
MARY, Are you gonna see him again?
JOHN, No – I’m going to work.
MARY," Oh. And after work, are you gonna see him again?"
MARY," Cor, I dunno – six months of bristly kisses for me, and then His Nibs turns up ..."
MARY, Oh! You should put that on a T-shirt!
JOHN, Shut up.
JOHN, Or I’ll marry you.
MYCROFT," All very interesting, Sherlock, but the terror alert has been raised to Critical."
SHERLOCK, Boring. Your move.
MYCROFT, We have solid information. An attack is coming.
SHERLOCK," “Solid information.” A secret terrorist organisation’s planning an attack – that’s what secret terrorist organisations do, isn’t it? It’s their version of golf."
MYCROFT, An agent gave his life to tell us that.
SHERLOCK," Oh, well, perhaps he shouldn’t have done. He was obviously just trying to show off."
MYCROFT, None of these markers of yours is behaving in any way suspiciously? (He glances down again and we hear him makes a move.) Your move.
SHERLOCK," No, Mycroft, but you have to trust me. I’ll find the answer. It’ll be in an odd phrase in an online blog, or an unexpected trip to the countryside, or a misplaced Lonely Hearts ad."
SHERLOCK, Your move.
MYCROFT, I’ve given the Prime Minister my personal assurance you’re on the case.
SHERLOCK, I am on the case. We’re both on the case. Look at us right now.
MYCROFT," Oh, bugger!"
SHERLOCK, Oopsie!
MYCROFT, Don’t be smart.
SHERLOCK," That takes me back. (In a little boy’s voice) “Don’t be smart, Sherlock. I’m the smart one.”"
SHERLOCK, I used to think I was an idiot.
MYCROFT," Both of us thought you were an idiot, Sherlock. We had nothing else to go on ’til we met other children."
SHERLOCK," Oh, yes. That was a mistake."
MYCROFT, Ghastly. What were they thinking of?
SHERLOCK, Probably something about trying to make friends.
MYCROFT," Oh yes. Friends. Of course, you go in for that sort of thing now."
MYCROFT," If you seem slow to me, Sherlock, can you imagine what real people are like? I’m living in a world of goldfish."
SHERLOCK," Yes, but I’ve been away for two years."
MYCROFT, So?
SHERLOCK," Rest assured, Mycroft – whatever this underground network of yours is up to, the secret will reside in something seemingly insignificant or bizarre."
MYCROFT, Speaking of which ...
MRS HUDSON," Oh, isn’t it wonderful, Mr Holmes?"
MYCROFT, I can barely contain myself(!)
SHERLOCK," Oh, he really can, you know."
MRS HUDSON, He’s secretly pleased to see you underneath all that ... (she pulls a sour face).
MYCROFT, Sorry – which of us?
MRS HUDSON, Both of you.
SHERLOCK, Let’s play something different.
SHERLOCK," Well, London’s terror alert has been raised to Critical. (He flails his legs over the table in front of him and stands up.) I’m just passing the time. Let’s do deductions."
SHERLOCK, Client left this while I was out. What d’you reckon?
SHERLOCK," Oh, go on. It’s been an age."
MYCROFT, I always win.
SHERLOCK, Which is why you can’t resist.
MYCROFT, Damn.
SHERLOCK," Isolated, too, don’t you think?"
MYCROFT, Why would he be isolated?
SHERLOCK, “He”?
MYCROFT, Obviously.
SHERLOCK, Why? Size of the hat?
MYCROFT, Don’t be silly. Some women have large heads too.
MYCROFT, No – he’s recently had his hair cut. You can see the little hairs adhering to the perspiration stains on the inside.
SHERLOCK," Some women have short hair, too."
MYCROFT, Balance of probability.
SHERLOCK," Not that you’ve ever spoken to a woman with short hair – or, you know, a woman."
MYCROFT," Stains show he’s out of condition, and he’s sentimental because the hat has been repaired three, four ..."
SHERLOCK," Five times. (He throws the hat back to his brother.) Very neatly. (Quick fire) The cost of the repairs exceeds the cost of the hat, so he's mawkishly attached to it, but it’s more than that. One, perhaps two, patches would indicate sentimentality, but five? Five’s excessive behaviour. Obsessive compulsive."
MYCROFT, Hardly. Your client left it behind. What sort of an obsessive compulsive would do that?
MYCROFT," The earlier patches are extensively sun-bleached, so he’s worn it abroad – in Peru."
SHERLOCK, Peru?
MYCROFT, This is a chullo – the classic headgear of the Andes. It’s made of alpaca.
MYCROFT, No?
SHERLOCK," Icelandic sheep wool. Similar, but very distinctive if you know what you’re looking for. I’ve written a blog on the varying tensile strengths of different natural fibres."
SHERLOCK, You said he was anxious.
MYCROFT," The bobble on the left side has been badly chewed, which shows he’s a man of a nervous disposition but ..."
MYCROFT, Precisely.
SHERLOCK, Brief sniff of the offending bobble tells us everything we need to know about the state of his breath.
MYCROFT, Elementary.
SHERLOCK, But you’ve missed his isolation.
MYCROFT, I don’t see it.
SHERLOCK, Plain as day.
MYCROFT, Where?
SHERLOCK, There for all to see.
MYCROFT, Tell me.
SHERLOCK, Plain as the nose on your ...
MYCROFT, Tell me.
MYCROFT, Not at all. Maybe he just doesn’t mind being different. He doesn’t necessarily have to be isolated.
SHERLOCK, Exactly.
MYCROFT, I’m sorry?
SHERLOCK, Why would anyone mind?
MYCROFT," ... I’m not lonely, Sherlock."
SHERLOCK, How would you know?
MYCROFT, Yes. Back to work if you don’t mind. Good morning.
MARY, Mr Summerson.
JOHN, Right.
MARY, Undescended testicle.
JOHN, ... Right.
MRS HUDSON, Sherlock.
MRS HUDSON, Talk to John.
SHERLOCK, I tried talking to him. He made his position quite clear.
JOHN," Just relax, Mr Summerson."
MRS HUDSON, What did he say?
SHERLOCK, F...
JOHN, Cough.
MRS HUDSON, Ooh dear!
JOHN, Hi.
JOHN, Right.
MOLLY, You wanted to see me?
SHERLOCK, Molly?
MOLLY, Yes?
SHERLOCK, Would you ...
SHERLOCK, Would you like to ...
MOLLY, ... have dinner?
JOHN," Absolutely nothing to be ashamed of, Mrs Reeves. It’s very common ... (he turns and hands the prescription to her) ... but I’m recommending a course of ..."
SHERLOCK, ... monkey glands.
SHERLOCK," But enough about Professor Presbury. Tell us more about your case, Mr Harcourt."
MOLLY, Are you sure about this?
SHERLOCK, Absolutely.
MOLLY, Should I be making notes?
SHERLOCK, If it makes you feel better.
MOLLY," It’s just that that’s what John says he does, so if I’m being John ..."
MR HARCOURT," Well, absolutely no one should have been able to empty that bank account other than myself and Helen."
SHERLOCK, Why didn’t you assume it was your wife? 
MR HARCOURT, Because I’ve always had total faith in her.
SHERLOCK," No – it’s because you emptied it. (He points at the three areas on the man at which he had just looked and speaks rapidly.) Weight loss, hair dye, Botox; affair. (Whipping out a business card, he holds it out to Mrs Harcourt.) Lawyer. Next!"
MARY, This is Mr Blake. (Whispering) Piles.
JOHN," Mr Blake, hi."
SHERLOCK," And your pen pal’s emails just stopped, did they?"
SHERLOCK, Stepfather posing as online boyfriend.
SHERLOCK," Breaks it off, breaks her heart. She swears off relationships, stays at home – he still has her wage coming in."
SHERLOCK," Mr Windibank, you have been a complete and utter ..."
JOHN, ... piss pot.
JOHN," It’s nothing to worry about. Just a small infection by the sound of it. Er, Doctor Verner is your usual GP, yes?"
MR SZIKORA," Yeah, yeah, yeah, yeah."
MR SZIKORA," He looked after me, man and boy."
MR SZIKORA," I run a little shop, just on the corner of Church Street."
JOHN," Oh, right."
MR SZIKORA," “Tree Worshippers.” Oh, that’s a corker. It’s very saucy."
MR SZIKORA, “British Birds.” Same sort of thing.
JOHN," I’m fine, thanks."
JOHN, Jesus. Sherlock ...
MR SZIKORA, Huh?
JOHN, ... what do you want?
MR SZIKORA, Huh?
JOHN, Have you come to torment me?
MR SZIKORA, What are you talking about?
MR SZIKORA, Are you crazy?!
JOHN," It’s not as good as your French. Not as good as your French. It’s not even a good disguise, Sherlock!"
JOHN, Where’d you get it from? A bloody joke ... sh-shop ...?
JOHN, Oh my God.
JOHN, I am so sorry. Oh my God.
JOHN," Please for... (He looks across to Mary, speaking a little plaintively.) It’s fine."
LESTRADE, This one’s got us all baffled.
SHERLOCK, Mmm. I don’t doubt it.
MOLLY, What is it?
MOLLY," You’re on to something, aren’t you?"
SHERLOCK," Mm, maybe."
MOLLY, What?
SHERLOCK, Hmm? Nothing.
JOHN, Mmm.
MARY, You sure?
JOHN, I’m sure.
MARY, Okay. I’m late for Cath. I’ll see you later.
JOHN, ’Bye.
MARY, ’Bye.
SHERLOCK, Just giving it a go.
LESTRADE," Right. So, John?"
SHERLOCK, Not really in the picture any more.
MOLLY, Trains?
SHERLOCK, Trains.
MOLLY," Male, forty to fifty."
MOLLY," Ooh, sorry, did you want to be ...?"
SHERLOCK," Er, no, please. Be my guest."
MOLLY, Doesn’t make sense.
LESTRADE, What doesn’t?
MOLLY, This skeleton – it’s ... it can’t be any more than ...
MOLLY, Wow!
SHERLOCK, Hmm.
LESTRADE, “How I Did It” by Jack the Ripper?!
SHERLOCK, Mm-hm.
MOLLY, It’s impossible!
SHERLOCK, Welcome to my world.
SHERLOCK, I won’t insult your intelligence by explaining it to you.
LESTRADE," No, please – insult away!"
SHERLOCK, The-the-the corpse is-is six months old; it’s dressed in a shoddy Victorian outfit from a museum. It’s been displayed on a dummy for many years in a case facing south-east judging from the fading of the fabric. It was sold off in a fire-damage sale ... (he gets out his phone and shows the screen to Greg) ... a week ago.
LESTRADE, So the whole thing was a fake.
SHERLOCK, Yes.
LESTRADE, Looked so promising.
MOLLY, Why would someone go to all that trouble?
HOWARD, Oh. Thanks for hanging on to it.
SHERLOCK, No problem.
SHERLOCK," So, what’s this all about, Mr Shilcott?"
HOWARD, My girlfriend’s a big fan of yours.
SHERLOCK, Sorry. Do go on.
HOWARD, I like trains.
SHERLOCK, Yyyes.
HOWARD," I work on the Tube, on the District Line, and part of my job is to wipe the security footage after it’s been cleared."
HOWARD," I was just whizzing through and, er, I found something a bit bizarre."
HOWARD," Now, this was a week ago. The last train on the Friday night, Westminster station, and this man gets into the last car."
MOLLY, “Car”?
HOWARD," They’re cars, not carriages. It’s a legacy of the early American involvement in the Tube system."
SHERLOCK, He said he liked trains.
MOLLY, Hmm!
HOWARD, And the next stop ... (he shows the appropriate footage) ... St James’s Park station ... and ...
HOWARD, I thought you’d like it.
HOWARD," He gets into the last car at Westminster, the only passenger ..."
HOWARD," ... and the car is empty at St James’s Park station. Explain that, Mr Holmes."
MOLLY, Couldn’t he have just jumped off?
HOWARD," There’s a safety mechanism that prevents the doors from opening in transit. But there’s something else. The driver of that train hasn’t been to work since. According to his flatmate, he’s on holiday. Came into some money."
SHERLOCK," So if the driver of the train was in on it, then the passenger did get off."
HOWARD," There’s nowhere he could go. It’s a straight run on the District Line between the two stations. There’s no side tunnels, no maintenance tunnels – nothing on any map. Nothing. The train never stops, and the man vanishes. Good, innit?!"
SHERLOCK, I know that face.
MOLLY, Right.
MOLLY, What?
SHERLOCK, I know a fantastic fish shop just off the Marylebone Road. The owner always gives me extra portions.
SHERLOCK, No – I helped him put up some shelves.
MOLLY, Sherlock?
SHERLOCK, Hmm?
MOLLY, What was today about?
SHERLOCK, Saying thank you.
MOLLY, For what?
SHERLOCK, Everything you did for me.
MOLLY, It’s okay. It was my pleasure.
SHERLOCK," No, I mean it."
MOLLY," I don’t mean ‘pleasure.’ I mean, I didn’t mind. I wanted to."
SHERLOCK," But you can’t do this again, can you?"
MOLLY, I had a lovely day. I’d love to – I just ... um ... (She looks down.)
MOLLY, He’s not from work.
MOLLY," We met through friends, the old-fashioned way. He’s nice. We ... he’s got a dog ... we-we go to the pub on weekends and he ... I’ve met his mum and dad and his friends and all his family. I’ve no idea why I’m telling you this."
SHERLOCK," I hope you’ll be very happy, Molly Hooper. You deserve it. After all, not all the men you fall for can turn out to be sociopaths(!)"
MOLLY, No?
SHERLOCK, No.
MOLLY, Maybe it’s just my type.
MARY," Oh, Mrs Hudson."
MARY, Sorry – I-I think someone’s got John – John Watson.
MRS HUDSON, Hang on! Who are you?
SHERLOCK, Mary? What’s wrong?
SHERLOCK," First word, then every third. Save ... John ... Watson."
 leaving just the vital ones, 
MARY, Where are we going?
SHERLOCK, St James the Less. It’s a church. Twenty minutes by car.
SHERLOCK, Did you drive here?
MARY," Er, yes."
SHERLOCK, This.
MARY, What does it mean? What are they going to do to him?
SHERLOCK, I don’t know.
s shoulder so that he can see the latest message, 
POLICE OFFICER, Oi! Oi! You can’t go down there!
MAN," No. It’s not gonna work. Bit damp. I’ll get something to help it along, yeah?"
DAD, Eh?
MARY, What does it mean?
SHERLOCK, Oh my God.
JOHN, Help!
SHERLOCK, Move! Move! Move! Move! Move!
SHERLOCK, John!
JOHN, Help!
SHERLOCK, John? John!
WOMAN," ... which wasn’t the way I’d put it at all. Silly woman. Anyway, it was then that I first noticed it was missing. I said, “Have you checked down the back of the sofa?”"
WOMAN," He’s always losing things down the back of the sofa, aren’t you, dear?"
MAN, ’Fraid so.
WOMAN," Keys, small change, sweeties. Especially his glasses."
MAN, Glasses.
WOMAN," Blooming things. I said, “Why don’t you get a chain – wear ’em round your neck?” And he says, “What – like Larry Grayson?”"
SHERLOCK," So did you find it eventually, your lottery ticket?"
WOMAN," Well, yes, thank goodness. We caught the coach on time after all. We managed to see, er, St Paul’s, the Tower ... but they weren’t letting anyone in to Parliament."
WOMAN, Some big debate going on.
SHERLOCK, John!
JOHN, Sorry – you’re busy.
WOMAN," Oh, were we?"
SHERLOCK, Yes. 
JOHN," No, no, if you’ve got a case ..."
SHERLOCK," No, not a case, no-no-no. (To the woman) Go. ’Bye."
WOMAN," Yeah, well, we’re here ’til Saturday, remember."
SHERLOCK," Yes, great, wonderful. Just get out."
WOMAN," Well, give us a ring."
SHERLOCK," Very nice, yes, good. Get out."
WOMAN, We’re just so pleased it’s all over.
MAN," Ring up more often, won’t you?"
MAN, She worries.
WOMAN, Promise?
SHERLOCK," Oh, for God..."
SHERLOCK, Sorry about that.
JOHN," No, it’s fine. Clients?"
JOHN, Your parents?
SHERLOCK, In town for a few days.
JOHN, Your parents?
SHERLOCK, Mycroft promised to take them to a matinee of “Les Mis.” Tried to talk me into doing it.
JOHN, Those were your parents?
SHERLOCK, Yes.
JOHN, Well ... (He chuckles briefly.) That is not what I ... 
SHERLOCK, What?
JOHN, I-I mean they’re just ... so ...
JOHN, ... ordinary.
SHERLOCK, It’s a cross I have to bear.
JOHN," Did they know, too?"
SHERLOCK, Hmm?
JOHN, That you spent the last two years playing hide and seek.
SHERLOCK, Maybe.
JOHN, Ah! So that’s why they weren’t at the funeral.
SHERLOCK," See you’ve shaved it off, then."
JOHN, Yeah. Wasn’t working for me.
SHERLOCK," Mm, I’m glad."
JOHN," What, you didn’t like it?"
JOHN, That’s not a sentence you hear every day!
SHERLOCK, How are you feeling?
JOHN," Yeah, not bad. Bit ... smoked."
SHERLOCK, Right.
JOHN, Last night – who did that? And why did they target me?
SHERLOCK, I don’t know.
JOHN, Is it someone trying to get to you through me? Is it something to do with this terrorist thing you talked about?
SHERLOCK, I don’t know. I can’t see the pattern. It’s too nebulous.
SHERLOCK, Why would an agent give his life to tell us something incredibly insignificant? That’s what’s strange.
JOHN, “Give his life”?
SHERLOCK, According to Mycroft. There’s an underground network planning an attack on London – that’s all we know.
SHERLOCK," These are my rats, John."
JOHN, Rats?
SHERLOCK," My markers: agents, low-lifes, people who might find themselves arrested or their diplomatic immunity suddenly rescinded. If one of them starts acting suspiciously, we know something’s up. Five of them are behaving perfectly normally, but the sixth ..."
SHERLOCK," Lord Moran, peer of the realm, Minister for Overseas Development. Pillar of the establishment."
JOHN, Yes!
SHERLOCK, He’s been working for North Korea since 1996.
JOHN, What?
SHERLOCK, He’s the Big Rat. Rat Number One. And he’s just done something very suspicious indeed.
SHERLOCK, Not according to the maps.
JOHN, Mm.
SHERLOCK," There’s something – something, something I’m missing, something staring me in the face."
SHERLOCK, Our rat’s just come out of his den.
JOHN, Al-Qaeda; the IRA have been getting restless again – maybe they’re gonna make an appearance ...
JOHN, What?
JOHN, What are you on about?
SHERLOCK, Mycroft’s intelligence – it’s not nebulous at all. It’s specific – incredibly specific.
SHERLOCK," Not an underground network, John. It’s an Underground network."
JOHN, Right. ... What?
SHERLOCK," Sometimes a deception is so audacious, so outrageous that you can’t see it even when it’s staring you in the face."
SHERLOCK, Look – seven carriages leave Westminster ... (the footage switches to show the next station) ... but only six carriages arrive at St James’s Park.
JOHN, But that’s ... I ... it’s-it’s impossible.
SHERLOCK, Moran didn’t disappear – the entire Tube compartment did. The driver must have diverted the train and then detached the last carriage.
JOHN, Detached it where?! You said there was nothing between those stations.
SHERLOCK," Not on the maps, but once you eliminate all the other factors, the only thing remaining must be the truth. (He points at the screen.) That carriage vanished, so it must be somewhere."
JOHN," But why, though? Why detach it in the first place?"
JOHN, Hmm? November the ... My God.
SHERLOCK, Lord Moran – he’s a peer of the realm. Normally he’d sit in the House. Tonight there’s an all-night sitting to vote on the new anti-terrorism Bill.
SHERLOCK, But he won’t be there. Not tonight. (He turns to look down at John.) Not the fifth of November.
JOHN," “Remember, remember.”"
SHERLOCK, “Gunpowder treason and plot.”
HOWARD," There’s nothing down there, Mr Holmes, I told you. No sidings, no ghost stations."
JOHN," Look – this whole area is a big mess of old and new stuff. Charing Cross is made up of bits of older stations like Trafalgar Square, Strand ..."
SHERLOCK," No, it’s none of those. We’ve accounted for those."
SHERLOCK," St Margaret’s Street, Bridge Street, Sumatra Road, Parliament Street ..."
JOHN," Well, why isn’t it on the maps?"
HOWARD, ’Cause it was closed before it ever opened.
JOHN, What?
SHERLOCK, It’s right underneath the Palace of Westminster.
JOHN, And so what’s down there? A bomb?
JOHN, Oh ...
JOHN," So it’s a bomb, then? A Tube carriage is carrying a bomb."
SHERLOCK, Must be.
JOHN, Right.
SHERLOCK, What are you doing?
JOHN, Calling the police.
SHERLOCK, What? No!
JOHN," Sherlock, this isn’t a game. They need to evacuate Parliament."
SHERLOCK," They’ll get in the way. They always do. This is cleaner, more efficient."
JOHN, And illegal.
SHERLOCK, A bit.
SHERLOCK, I don’t understand.
